Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,Microsoft.Win32.Registry 4.7.0,,,,,"Microsoft.Win32.Registry, 4.7.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,System.Memory 4.5.5,,,,,"System.Memory, 4.5.5  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,System.Resources.Extensions 8.0.0,,,,,"System.Resources.Extensions, 8.0.0  Recommendation:  Remove System.Resources.Extensions, and replace with new package System.Resources.Extensions 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,System.Runtime.CompilerServices.Unsafe 4.5.3,,,,,"System.Runtime.CompilerServices.Unsafe, 4.5.3  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,System.Security.AccessControl 4.7.0,,,,,"System.Security.AccessControl, 4.7.0  Recommendation:  Remove System.Security.AccessControl, and replace with new package System.Security.AccessControl 6.0.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,System.Security.Principal.Windows 4.7.0,,,,,"System.Security.Principal.Windows, 4.7.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,VVVV.Core 39.0.0,,,,,"VVVV.Core, 39.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,VVVV.PluginInterfaces 39.0.0,,,,,"VVVV.PluginInterfaces, 39.0.0  Recommendation:  VVVV.PluginInterfaces, 38.1.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,VVVV.System.ComponentModel.Composition.Codeplex 2.5.0,,,,,"VVVV.System.ComponentModel.Composition.Codeplex, 2.5.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,VVVV.Utils 39.0.0,,,,,"VVVV.Utils, 39.0.0  Recommendation:  No supported version found"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\ExampleDecode.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\Program.cs,82,3,P:System.Windows.Forms.FileDialog.FileName,,,,,var wavePlayer = new WaveFileReader(selectFileDialog.FileName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\Program.cs,81,3,T:System.Windows.Forms.DialogResult,,,,,selectFileDialog.ShowDialog();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\Program.cs,81,3,M:System.Windows.Forms.CommonDialog.ShowDialog,,,,,selectFileDialog.ShowDialog();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\Program.cs,80,3,P:System.Windows.Forms.FileDialog.RestoreDirectory,,,,,selectFileDialog.RestoreDirectory = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\Program.cs,79,3,P:System.Windows.Forms.FileDialog.Filter,,,,,"selectFileDialog.Filter = ""wav files (*.wav)|*.wav"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\Program.cs,78,3,T:System.Windows.Forms.OpenFileDialog,,,,,OpenFileDialog selectFileDialog = new OpenFileDialog();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleDecode\ExampleDecode.csproj,File,ExampleDecode\Program.cs,78,3,M:System.Windows.Forms.OpenFileDialog.#ctor,,,,,OpenFileDialog selectFileDialog = new OpenFileDialog();
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,Microsoft.Win32.Registry 4.7.0,,,,,"Microsoft.Win32.Registry, 4.7.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,System.Memory 4.5.5,,,,,"System.Memory, 4.5.5  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,System.Resources.Extensions 8.0.0,,,,,"System.Resources.Extensions, 8.0.0  Recommendation:  Remove System.Resources.Extensions, and replace with new package System.Resources.Extensions 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,System.Runtime.CompilerServices.Unsafe 4.5.3,,,,,"System.Runtime.CompilerServices.Unsafe, 4.5.3  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,System.Security.AccessControl 4.7.0,,,,,"System.Security.AccessControl, 4.7.0  Recommendation:  Remove System.Security.AccessControl, and replace with new package System.Security.AccessControl 6.0.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,System.Security.Principal.Windows 4.7.0,,,,,"System.Security.Principal.Windows, 4.7.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,VVVV.Core 39.0.0,,,,,"VVVV.Core, 39.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,VVVV.PluginInterfaces 39.0.0,,,,,"VVVV.PluginInterfaces, 39.0.0  Recommendation:  VVVV.PluginInterfaces, 38.1.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,VVVV.System.ComponentModel.Composition.Codeplex 2.5.0,,,,,"VVVV.System.ComponentModel.Composition.Codeplex, 2.5.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,VVVV.Utils 39.0.0,,,,,"VVVV.Utils, 39.0.0  Recommendation:  No supported version found"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ExampleEncode\ExampleEncode.csproj,File,ExampleEncode\ExampleEncode.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LTCNodes\LTCNodes.csproj,File,LTCNodes\LTCNodes.csproj,,,Microsoft.Win32.Registry 4.7.0,,,,,"Microsoft.Win32.Registry, 4.7.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LTCNodes\LTCNodes.csproj,File,LTCNodes\LTCNodes.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LTCNodes\LTCNodes.csproj,File,LTCNodes\LTCNodes.csproj,,,System.Memory 4.5.5,,,,,"System.Memory, 4.5.5  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LTCNodes\LTCNodes.csproj,File,LTCNodes\LTCNodes.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LTCNodes\LTCNodes.csproj,File,LTCNodes\LTCNodes.csproj,,,System.Resources.Extensions 8.0.0,,,,,"System.Resources.Extensions, 8.0.0  Recommendation:  Remove System.Resources.Extensions, and replace with new package System.Resources.Extensions 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LTCNodes\LTCNodes.csproj,File,LTCNodes\LTCNodes.csproj,,,System.Runtime.CompilerServices.Unsafe 4.5.3,,,,,"System.Runtime.CompilerServices.Unsafe, 4.5.3  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LTCNodes\LTCNodes.csproj,File,LTCNodes\LTCNodes.csproj,,,System.Security.AccessControl 4.7.0,,,,,"System.Security.AccessControl, 4.7.0  Recommendation:  Remove System.Security.AccessControl, and replace with new package System.Security.AccessControl 6.0.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LTCNodes\LTCNodes.csproj,File,LTCNodes\LTCNodes.csproj,,,System.Security.Principal.Windows 4.7.0,,,,,"System.Security.Principal.Windows, 4.7.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,LTCNodes\LTCNodes.csproj,File,LTCNodes\LTCNodes.csproj,,,VVVV.Core 39.0.0,,,,,"VVVV.Core, 39.0.0  Recommendation:  No supported version found"
